Municipality,State,Country,Latitude,Longitude
Great Falls,MT,United States,47.5053,-111.3008
Billings,MT,United States,45.7833,-108.5007
Bozeman,MT,United States,45.6770,-111.0429
Helena,MT,United States,46.5927,-112.0361
Missoula,MT,United States,46.8721,-113.9940
Kalispell,MT,United States,48.1958,-114.3128
